id,base_pkg,adv_pkg,attack_type,response_count,likert_scores,considering_scores,confusability_cat
78,@types/google-map-react,@types/google-maps-react,scope confusion,4,"[5, 6, 6, 5]","[6, 5, 6]",Highly Confusing
692,normalize-scss,normalise.scss,alternate spelling,6,"[5, 6, 6, 2, 5, 4]","[6, 5, 6]",Highly Confusing
106,ansi-color,ansicolour,alternate spelling,7,"[5, 6, 6, 1, 6, 5]","[1, 6, 5]",Mildly Confusing
304,duck,ducks,grammatical substitution,4,"[5, 6, 5]","[5, 6, 5]",Highly Confusing
310,easyimage,image,simplification,3,"[5, 6, 5]","[5, 6, 5]",Highly Confusing
334,eslint-config-prettier,eslint-prettier-config,sequence reordering,3,"[5, 6, 5]","[5, 6, 5]",Highly Confusing
791,random,randoms,grammatical substitution,3,"[5, 6, 5]","[5, 6, 5]",Highly Confusing
62,@stdlib/math-base-special-sin,@stdlib/math-base-special-sinc,scope confusion,4,"[5, 6, 4]","[5, 6, 4]",Confusing
66,@turf/turf,@bmap-turf/turf,scope confusion,3,"[5, 6, 4]","[5, 6, 4]",Confusing
649,mock-local-storage,mock-localstorage,delimiter modification,3,"[5, 6, 4]","[5, 6, 4]",Confusing
414,gitlog,git-log,delimiter modification,4,"[5, 6, 4, 5]","[5, 5, 5]",Highly Confusing
83,@types/offscreencanvas,@types/offscreen-canvas,scope confusion,3,"[5, 6, 3]","[5, 6, 3]",Mildly Confusing
294,dom-urls,domurl,grammatical substitution,4,"[5, 6, 3]","[5, 6, 3]",Mildly Confusing
375,filestack-react,react-filestack,sequence reordering,3,"[5, 6, 3]","[5, 6, 3]",Mildly Confusing
953,standard-error,standard-errors,grammatical substitution,3,"[5, 6, 3]","[5, 6, 3]",Mildly Confusing
191,co-use,cpuse,delimiter modification,3,"[5, 6, 2]","[5, 6, 2]",Mildly Confusing
272,defaults-deep,deep-defaults,sequence reordering,3,"[5, 6, 2]","[5, 6, 2]",Mildly Confusing
621,mapbox,gmap,semantic substitution,3,"[5, 6, 2]","[5, 6, 2]",Mildly Confusing
282,di,dir,grammatical substitution,4,"[5, 6, 1, 4]","[5, 6, 5]",Highly Confusing
79,@types/got,@types/git,scope confusion,3,"[5, 5, 6]","[5, 5, 6]",Highly Confusing
376,filewatcher,file-watcher,delimiter modification,3,"[5, 5, 6]","[5, 5, 6]",Highly Confusing
881,runscript,run-script,delimiter modification,3,"[5, 5, 6]","[5, 5, 6]",Highly Confusing
1000,tarr,torr,homographic replacement,3,"[5, 5, 6]","[5, 5, 6]",Highly Confusing
1064,use-async-effect,useeffectasync,sequence reordering,3,"[5, 5, 6]","[5, 5, 6]",Highly Confusing
176,calibre,caliber,alternate spelling,7,"[5, 5, 6, 5, 6]","[5, 6, 6]",Highly Confusing
1018,tmpl,templ,homophonic similarity,4,"[5, 5, 6, 4]","[4, 6, 5]",Confusing
109,any-base,ivy-company-base,prefix/ suffix augmentation,3,"[5, 5, 5]","[5, 5, 5]",Highly Confusing
532,js-md5,md5-js,sequence reordering,3,"[5, 5, 5]","[5, 5, 5]",Highly Confusing
963,store,store5,homophonic similarity,3,"[5, 5, 5]","[5, 5, 5]",Highly Confusing
1100,window,windows,grammatical substitution,3,"[5, 5, 5]","[5, 5, 5]",Highly Confusing
784,query-string,query-strings,grammatical substitution,4,"[5, 5, 5, 6]","[5, 6, 5]",Highly Confusing
1061,urlgrey,urlgray,alternate spelling,6,"[5, 5, 5, 6, 6, 6]","[6, 6, 6]",Very Highly Confusing
957,std,stb,homographic replacement,2,"[5, 5, 5, 5, 1, 1, 2, 2]","[1, 2, 1]",Not Confusing
958,std,stb,homographic replacement,2,"[5, 5, 5, 5, 1, 1, 2, 2]","[5, 5, 5]",Highly Confusing
705,objectorarray,object,simplification,4,"[5, 5, 5, 2]","[5, 5, 2]",Mildly Confusing
406,git-log-parser,gitlog-parser,delimiter modification,3,"[5, 5, 4]","[5, 5, 4]",Confusing
761,preact-compat,preact-compat2,homophonic similarity,4,"[5, 5, 4]","[5, 5, 4]",Confusing
788,raf,ref,homographic replacement,3,"[5, 5, 4]","[5, 5, 4]",Confusing
943,source-map-resolve,source-map-resolver,grammatical substitution,3,"[5, 5, 4]","[5, 5, 4]",Confusing
1027,ts-enum-util,ts-enum-utils,grammatical substitution,3,"[5, 5, 4]","[5, 5, 4]",Confusing
508,is_js,fs.js,delimiter modification,4,"[5, 5, 4, 4]","[4, 5, 5]",Confusing
608,log-utils,logging-utils,semantic substitution,3,"[5, 5, 3]","[5, 5, 3]",Mildly Confusing
823,react-quick-pinch-zoom,react-fast-pinch-zoom,semantic substitution,3,"[5, 5, 3]","[5, 5, 3]",Mildly Confusing
318,emojis-list,emoji-list,grammatical substitution,4,"[5, 5, 3, 6]","[5, 3, 6]",Mildly Confusing
178,capitalize,capitalise,alternate spelling,6,"[5, 5, 3, 3, 6, 6]","[6, 5, 3]",Mildly Confusing
52,@primer/octicons-react,@githubprimer/octicons-react,scope confusion,4,"[5, 5, 3, 2]","[2, 5, 3]",Not Confusing
115,argparse,arg-parse,delimiter modification,3,"[5, 5, 2]","[5, 5, 2]",Mildly Confusing
735,pem,gem,homographic replacement,3,"[5, 5, 2]","[5, 5, 2]",Mildly Confusing
856,replace,rplace,homophonic similarity,4,"[5, 5, 2]","[5, 5, 2]",Mildly Confusing
297,dotenv,dotenvs,grammatical substitution,4,"[5, 5, 2, 6]","[5, 6, 6]",Highly Confusing
695,now,gl-now,prefix/ suffix augmentation,4,"[5, 5, 2, 2]","[2, 5, 5]",Mildly Confusing
864,resolve,resolver,grammatical substitution,4,"[5, 5, 2, 1]","[2, 5, 5]",Mildly Confusing
932,size-limit,limit-size,sequence reordering,3,"[5, 5, 1]","[5, 5, 1]",Mildly Confusing
9,@aws-sdk/client-ses,@aws-sdk/client-sms,scope confusion,4,"[5, 4, 6]","[5, 4, 6]",Confusing
1123,zip-folder,zipfolder,delimiter modification,3,"[5, 4, 6]","[5, 4, 6]",Confusing
174,cache-manager,cache,simplification,4,"[5, 4, 6, 5]","[5, 5, 4]",Confusing
575,languagedetect,detect-language,sequence reordering,3,"[5, 4, 5]","[5, 4, 5]",Confusing
765,prettyjson,pretty-cli,asemantic substitution,4,"[5, 4, 5]","[5, 4, 5]",Confusing
1093,waypoints,waypoint,grammatical substitution,3,"[5, 4, 5]","[5, 4, 5]",Confusing
347,exec-async,async-exec,sequence reordering,3,"[5, 4, 4]","[5, 4, 4]",Confusing
693,normalize-url,normalize-uri,homographic replacement,3,"[5, 4, 3]","[5, 4, 3]",Mildly Confusing
87,@types/redux-actions,@types/redux-action,scope confusion,4,"[5, 4, 3, 6]","[3, 6, 5]",Mildly Confusing
63,@truffle/contract,truffle-contract,scope confusion,3,"[5, 4, 2]","[5, 4, 2]",Mildly Confusing
459,hot-shots,hotshot,grammatical substitution,3,"[5, 4, 2]","[5, 4, 2]",Mildly Confusing
887,safe-json-parse,json-parse-safe,sequence reordering,3,"[5, 4, 2]","[5, 4, 2]",Mildly Confusing
1028,ts-log,logging-ts,semantic substitution,3,"[5, 4, 2]","[5, 4, 2]",Mildly Confusing
45,@nuxt/babel-preset-app,@nuxtjs/babel-preset-app,scope confusion,4,"[5, 4, 2, 4]","[2, 5, 4]",Mildly Confusing
890,sails-mysql,json2mysql,asemantic substitution,4,"[5, 4, 2, 1]","[2, 2, 2]",Not Confusing
278,deprecation,deprecations,grammatical substitution,4,"[5, 3, 6, 2]","[5, 2, 6]",Mildly Confusing
32,@jupyterlab/application,@jupyterlab-classic/application,scope confusion,4,"[5, 3, 5]","[5, 3, 5]",Mildly Confusing
588,linebreak,breakline,sequence reordering,3,"[5, 3, 5]","[5, 3, 5]",Mildly Confusing
766,private-ip,private-ips,grammatical substitution,3,"[5, 3, 5]","[5, 3, 5]",Mildly Confusing
5,@auto-it/npm,@auto/npm,scope confusion,4,"[5, 3, 5, 6]","[6, 5, 6]",Highly Confusing
102,angular,angular-strap,prefix/ suffix augmentation,4,"[5, 3, 5, 1]","[5, 3, 3]",Not Confusing
339,eslint-webpack-plugin,eslint-plugin-nodejs,semantic substitution,4,"[5, 3, 4]","[5, 3, 4]",Mildly Confusing
713,oneline,one-liner,grammatical substitution,4,"[5, 3, 4]","[5, 3, 4]",Mildly Confusing
324,env-var,valenv,delimiter modification,4,"[5, 3, 4, 5]","[4, 4, 5]",Confusing
121,array-range,array,simplification,4,"[5, 3, 4, 1]","[3, 3, 1]",Not Confusing
481,influx,in-flux,delimiter modification,3,"[5, 3, 3]","[5, 3, 3]",Not Confusing
934,slack-markdown,slack-mrkdwn,homophonic similarity,4,"[5, 3, 3, 4]","[3, 3, 3]",Not Confusing
724,parse-uri,parse_url,homographic replacement,3,"[5, 3, 2]","[5, 3, 2]",Not Confusing
759,preact,preact-mdl,prefix/ suffix augmentation,3,"[5, 3, 2]","[5, 3, 2]",Not Confusing
738,phantomjs-prebuilt,phantomjs-prebuilt-macbre,prefix/ suffix augmentation,4,"[5, 3, 2, 2]","[5, 2, 2]",Not Confusing
