Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
d3.js,d3,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:d3.js:20170802
discordi.js,discord.js,npm,"(1,)",,19/10/2017,N/A,N/A,https://snyk.io/vuln/npm:discordi.js:20171009
fabric-js,fabric,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:fabric-js:20170802
ffmepg,ffmpeg,npm,"(1,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:ffmepg:20170802
gruntcli,grunt-cli,npm,"(3,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:gruntcli:20170802
http-proxy.js,http-proxy,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:http-proxy.js:20170802
jquery.js,jquery,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:jquery.js:20170802
mariadb,mariadb,npm,"(12,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:mariadb:20170802
mongose,mongoose,npm,"(1,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:mongose:20170802
mssql-node,mysql,npm,"(4, 1)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:mssql-node:20170802
mssql.js,mysql,npm,"(4, 1)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:mssql.js:20170802
mysqljs,mysql,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:mysqljs:20170802
node-fabric,fabric,npm,"(4,)",,19/07/2017,hacktask typosquatting attacks,Stealing,https://snyk.io/vuln/npm:node-fabric:20170802
asinc,async,npm,"(13,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASINC-174690
asnc,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASNC-174685
asnyc,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASNYC-174683
asycn,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASYCN-174684
asymc,async,npm,"(2,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASYMC-174689
asynnc,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASYNNC-174688
asyync,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ASYYNC-174687
axios-http,axios,npm,"(4,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-AXIOSHTTP-460539
axioss,axios,npm,"(1,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-AXIOSS-460538
axois,axios,npm,"(1,)",,9/8/18,Command and Control,Backdoor,https://snyk.io/vuln/SNYK-JS-AXOIS-450958
aysnc,async,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-AYSNC-174682
bitcoin-osp,bitcoin-ops,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCOINOSP-536178
bitcoisnj-lib,bitcoinjs-lib,npm,"(1, 1)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCOISNJLIB-536176
bitconid-rpc,bitcoind-rpc,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCONIDRPC-536174
bitconijs-lib,bitcoinjs-lib,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCONIJSLIB-536173
bitconi-ops,bitcoin-ops,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCONIOPS-536175
bitcroe-lib,bitcore-lib,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BITCROELIB-536172
body-parse-xml,body-parser-xml,npm,"(10,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-BODYPARSEXML-460537
bowe,bower,npm,"(1,)",,30/05/2019,Preinstall for download and execution of file for backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-BOWE-174868
bowee,bower,npm,"(1,)",,30/05/2019,Preinstall for download and execution of file for backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-BOWEE-174833
bs58chcek,bs58check,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BS58CHCEK-536168
bs58chek,bs58check,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BS58CHEK-536167
bs58chekc,bs58check,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BS58CHEKC-536166
bs85,bs58,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BS85-536165
bs85check,bs58check,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BS85CHECK-536164
bsae-x,base-x,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-BSAEX-536163
buffdr-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFDRXOR-474552
buffe2-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFE2XOR-474551
buffeb-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFEBXOR-474550
buffep-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFEPXOR-474549
buffer-8or,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFER8OR-474548
buffer-hor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERHOR-474547
buffermxor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERMXOR-474533
buffer-por,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERPOR-474546
buffer-xgr,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXGR-474545
buffer-xkr,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXKR-474544
buffer-xmr,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXMR-474543
buffer-xnr,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXNR-474542
buffer-xo2,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXO2-474541
buffer-xob,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXOB-474540
buffer-xop,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXOP-474539
buffer-xos,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXOS-474538
buffer-xov,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXOV-474537
buffer-xoz,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERXOZ-474536
buffer-yor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERYOR-474535
buffer-zor,buffer-xor,npm,"(13,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFERZOR-474534
buffes-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFESXOR-474532
buffev-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFEVXOR-474531
buffez-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFEZXOR-474530
buffgr-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFGRXOR-474529
buffmr-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFMRXOR-474528
buffur-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFFURXOR-474527
bufger-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFGERXOR-474526
bufner-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFNERXOR-474525
bufver-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUFVERXOR-474524
bugfer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-BUGFERXOR-474523
calk,chalk,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-CALK-174674
chak,chalk,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-CHAK-174676
cionstring,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-CIONSTRING-536162
coinpayment,coinpayments,npm,"(10,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COINPAYMENT-536161
coinstirng,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COINSTIRNG-536160
coinstrig,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COINSTRIG-536159
coinstrng,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COINSTRNG-536158
colour-string,color-string,npm,"(5,)",,31/05/2019,Preinstall for download and execution of file for backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-COLOURSTRING-174850
colro-name,color-name,npm,"(1,)",,31/05/2019,Preinstall for download and execution of file for backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-COLRONAME-449541
comander,commander,npm,"(1,)",,2/10/19,Opens backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-COMANDER-471676
commander-js,commander,npm,"(4,)",,9/1/19,Backdoor in postinstall,Backdoor,https://snyk.io/vuln/SNYK-JS-COMMANDERJS-73506
commandre,commander,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COMMANDRE-536156
commanedr,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-COMMANEDR-536155
commnader,commander,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-COMMNADER-174680
conistring,coinstring,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-CONISTRING-536154
crpyto-js,crypto-js,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-CRPYTOJS-536153
crytpo-js,crypto-js,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-CRYTPOJS-536152
cxt,ccxt,npm,"(6,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-CXT-536151
db-json.js,json,npm,"(4,)",,10/11/20,postinstall with trojan,Virus,https://snyk.io/vuln/SNYK-JS-DBJSONJS-1047461
degbu,debug,npm,"(1, 1)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-DEGBU-536150
dhkey,hdkey,npm,"(1,)",,27/11/2019,No description,N/A,https://snyk.io/vuln/SNYK-JS-DHKEY-536149
discord.app,discord.js,npm,"(9,)",,10/11/20,postinstall with trojan,Virus,https://snyk.io/vuln/SNYK-JS-DISCORDAPP-1038826
discord.dll,discord.js,npm,"(9,)",,9/11/20,Postinstall that exfiltrates local files,Stealing,https://snyk.io/vuln/SNYK-JS-DISCORDDLL-1038397
eact,react,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-EACT-174677
ember_cli_babe,ember-cli-babel,npm,"(3, 1)",,2/10/19,Opens backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-EMBERCLIBABE-471668
equest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-EQUEST-174667
erquest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-ERQUEST-174646
experss,express,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-EXPERSS-174678
exprss,express,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-EXPRSS-174679
foever,forever,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-FOEVER-174891
froever,forever,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-FROEVER-174890
import-mysql,mysql-import,npm,"(7,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-IMPORTMYSQL-460535
jqeury,jquery,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-JQEURY-174888
jquerz,jquery,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-JQUERZ-174887
juffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-JUFFERXOR-474517
k0a_multer,koa-multer,npm,"(2, 3)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-K0AMULTER-460532
koa-body-parse,koa-bodyparser,npm,"(3, 10)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-KOABODYPARSE-460531
logsymbles,log-symbols,npm,"(3, 1, 1)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-LOGSYMBLES-174886
log-symboles,log-symbols,npm,"(1,)",,2/10/19,Opens backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-LOGSYMBOLES-471671
mogobd,mongodb,npm,"(1, 1)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-MOGOBD-460530
mogodb,mongodb,npm,"(1,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-MOGODB-460529
mogodb-core,mongodb-core,npm,"(1,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-MOGODBCORE-460528
mogoose,mongoose,npm,"(1,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-MOGOOSE-460527
momen,moment,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-MOMEN-174681
mysql-koa,koa-mysql,npm,"(7,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-MYSQLKOA-460526
next-util,next-utils,npm,"(10,)",,12/7/19,"Uploads system info to remote server, download and executeit",Stealing,https://snyk.io/vuln/SNYK-JS-NEXTUTIL-451579
plutov-slack-client,slack,npm,"(12,)",,15/10/2020,Open shell to remote server on install,Backdoor,https://snyk.io/vuln/SNYK-JS-PLUTOVSLACKCLIENT-1018836
reequest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REEQUEST-174659
regenraotr,regenerator,npm,"(1, 1)",,24/06/2018,Command and Control server,Backdoor,https://snyk.io/vuln/SNYK-JS-REGENRAOTR-450957
regenrator,regenerator,npm,"(1,)",,24/06/2018,Command and Control server,Backdoor,https://snyk.io/vuln/SNYK-JS-REGENRATOR-450956
reqest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQEST-174831
reqquest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQQUEST-174661
requeest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUEEST-174671
reques,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUES-174665
requesst,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUESST-174672
requestt,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUESTT-174673
requet,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUET-174663
requets,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUETS-174668
require-port,requires-port,npm,"(10,)",,2/10/19,"When installed, the package downloads a file from a remote server, executes it and opens a backdoor.",Backdoor,https://snyk.io/vuln/SNYK-JS-REQUIREPORT-471682
require-ports,requires-port,npm,"(10,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-REQUIREPORTS-174893
requset,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUSET-174669
requst,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUST-174664
requuest,request,npm,"(1,)",,6/5/19,Upload info to remote server info about sudo,Stealing,https://snyk.io/vuln/SNYK-JS-REQUUEST-174660
ruffer-xor,buffer-xor,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-RUFFERXOR-474516
serializes,serialize,npm,"(10,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-SERIALIZES-460523
serilize,serialize,npm,"(1,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-SERILIZE-460522
soket.io,socket.io,npm,"(1,)",,24/06/2018,Command and Control server,Backdoor,https://snyk.io/vuln/SNYK-JS-SOKETIO-450954
soket.js,socket.js,npm,"(1,)",,24/06/2018,Command and Control server,Backdoor,https://snyk.io/vuln/SNYK-JS-SOKETJS-450934
sparkies,sparkles,npm,"(2,)",,30/08/2019,Uploads system info to remote server,Stealing,https://snyk.io/vuln/SNYK-JS-SPARKIES-460521
twilio-npm,twilio,npm,"(4,)",,2/11/20,Reverse shell postinstall,Backdoor,https://snyk.io/vuln/SNYK-JS-TWILIONPM-1035374
uglyfi-js,uglify-js,npm,"(13,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-UGLYFIJS-174897
yeoman-genrator,yeoman-generator,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://snyk.io/vuln/SNYK-JS-YEOMANGENRATOR-174895
zs-sha3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Crypto theft,https://snyk.io/vuln/SNYK-JS-ZSSHA3-474417
acqusition,acquisition,pip,"(1,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-ACQUSITION-40662
apidev-coop,apidev-coop_cms,pip,"(6,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-APIDEVCOOP-40663
bzip,bz2file,pip,"(8,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-BZIP-40664
colourama,colorama,pip,"(5,)",,21/10/2023,"ZDnet, bitcoin",Crypto theft,https://snyk.io/vuln/SNYK-PYTHON-COLOURAMA-72537
crypt,crypto,pip,"(1,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-CRYPT-40665
djanga,django,pip,"(1,)",,13/10/2018,.bashrc file when installed on a linux system.,Code Injection,https://snyk.io/vuln/SNYK-PYTHON-DJANGA-72533
django-server,django-server-guardian-api,pip,"(6,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-DJANGOSERVER-40666
easyinstall,easy_install,pip,"(3,)",,11/10/23,Gain persinstence through modifying the .bashrc script (ZDnet),Code Injection,https://snyk.io/vuln/SNYK-PYTHON-EASYINSTALL-72534
genesisbot,genesis,pip,"(4,)",,30/07/2021,Discord tokens and credit card details,Stealing,https://snyk.io/vuln/SNYK-PYTHON-GENESISBOT-1535118
jeilyfish,jellyfish,pip,"(2,)",,4/12/19,steals SSH and GPG keys,Stealing,https://snyk.io/vuln/SNYK-PYTHON-JEILYFISH-536726
libpesh,libpeshka,pip,"(1, 1)",,17/07/2019,.drv file to persist in .bashrc,Code Injection,https://snyk.io/vuln/SNYK-PYTHON-LIBPESH-460156
libpeshnx,libpeshka,pip,"(1, 1)",libpeshka itself is a malware package,13/10/2018,.bashrc file when installed on a linux system.,Code Injection,https://snyk.io/vuln/SNYK-PYTHON-LIBPESHKA-72535
pwd,pwdhash,pip,"(6,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-PWD-40667
python3-dateutil,dateutil,pip,"(4,)",,4/12/19,steals SSH and GPG keys,Stealing,https://snyk.io/vuln/SNYK-PYTHON-PYTHON3DATEUTIL-536644
setup-tools,setuptools,pip,"(3,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-SETUPTOOLS-40668
smplejson,simplejson,pip,"(1,)",,13/10/2023,Research / Data leakage,Proof-of-concept,https://snyk.io/vuln/SNYK-PYTHON-SMPLEJSON-72526
timeit,timeit,pip,"(12,)",timeit is an inbuilt module of python,13/10/2023,Research / Data leakage,Proof-of-concept,https://snyk.io/vuln/SNYK-PYTHON-TIMEIT-72528
telnet,telnetsrvlib,pip,"(6,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-URLIB3-40670
urlib3,urllib3,pip,"(1,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-URLIB3-40670
urllib,urllib3,pip,"(6,)",,15/09/2017,Chinese IP address upload,Stealing,https://snyk.io/vuln/SNYK-PYTHON-URLIB3-40670
active-support,activesupport,npm,"(3,)",,9/8/18,Duplicate original and bse64encode,Code Injection,https://snyk.io/vuln/SNYK-RUBY-ACTIVESUPPORT-22046
active-support,activesupport,RubyGems,"(3,)",,9/8/18,Duplicate original and bse64encode,Code Injection,https://snyk.io/vuln/SNYK-RUBY-ACTIVESUPPORT-22046
applogger_ruby,,RubyGems,"(12,)",,16/04/2020,Malicious 3rd party script,Code Injection,https://snyk.io/vuln/SNYK-RUBY-APPLOGGERRUBY-566804
DiscordSafety,,pip,"(12,)",,19/11/2021,"Discord tokens, the record",Stealing,https://therecord.media/malicious-python-packages-caught-stealing-discord-tokens-installing-shells/
yandex-yt,yandex,pip,"(4,)",,19/11/2021,"Discord tokens, the record",Stealing,https://therecord.media/malicious-python-packages-caught-stealing-discord-tokens-installing-shells/
mitmproxy-iframe,mitmproxy,pip,"(4,)",,12/10/21,"Bleeping computer, mitproxy",Code Injection,https://www.bleepingcomputer.com/news/security/pypi-removes-mitmproxy2-over-code-execution-concerns/
mitmproxy2,mitmproxy,pip,"(4,)",,12/10/21,"Bleeping computer, mitproxy",Code Injection,https://www.bleepingcomputer.com/news/security/pypi-removes-mitmproxy2-over-code-execution-concerns/
http-proxy-middelware,http-proxy-middleware,npm,"(1,)",,3/2/21,download code in index.js,Code Injection,https://www.npmjs.com/package/http-proxy-middelware
jquerry,jquery,npm,"(1,)",,3/2/21,download code in index.js,Code Injection,https://www.npmjs.com/package/jquerry
nagibabel,Babel-cli,npm,"(6, 4)",,14/09/2020,rm -rf on current directory,Sabotage,https://www.npmjs.com/package/nagibabel
pythonkafka,kafka-python,pip,"(7, 3)",,31/10/2018,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
smb,pysmb,pip,"(6,)",,30/10/2018,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
python-mysqldb,MySQL-python,pip,"(7, 4)",,2/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
python-ftp,pyftpdlib,pip,"(8, 6, 3)",,30/10/2018,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
python-sqlite,pysqlite,pip,"(8, 3)",,29/10/2018,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
pytz3-dev,pytz,pip,"(4,)",,17/09/2018,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
python-openssl,openssl-python,pip,"(7,)",,10/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
python-mongo,pymongodb,pip,"(8, 3, 6)",,10/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
nmap-python,python-nmap,pip,"(7,)",,10/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
PyYMAL,pyyaml,pip,"(1,)",,3/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
pysprak,pyspark,pip,"(1,)",,3/5/18,Could not find description,N/A,https://www.researchgate.net/publication/343022080_Typosquatting_and_Combosquatting_Attacks_on_the_Python_Ecosystem
