Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
arm-appinsights,@azure/arm-appinsights,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-appplatform,@azure/arm-appplatform,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-appservice,@azure/arm-appservice,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-attestation,@azure/arm-attestation,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-authorization,@azure/arm-authorization,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-avs,@azure/arm-avs,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-azurestack,@azure/arm-azurestack,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-azurestackhci,@azure/arm-azurestackhci,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-batch,@azure/arm-batch,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-billing,@azure/arm-billing,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-botservice,@azure/arm-botservice,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-cdn,@azure/arm-cdn,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-changeanalysis,@azure/arm-changeanalysis,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-cognitiveservices,@azure/arm-cognitiveservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-commerce,@azure/arm-commerce,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-commitmentplans,@azure/arm-commitmentplans,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-communication,@azure/arm-communication,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-compute,@azure/arm-compute,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-confluent,@azure/arm-confluent,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-consumption,@azure/arm-consumption,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-containerinstance,@azure/arm-containerinstance,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-containerregistry,@azure/arm-containerregistry,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-containerservice,@azure/arm-containerservice,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-cosmosdb,@azure/arm-cosmosdb,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-customerinsights,@azure/arm-customerinsights,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-databox,@azure/arm-databox,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
