adv_pkg,base_pkg,category,typomind_cat
jest-nock, jest-mock, Common Typos,NA
require-g, requireg, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
require-g, requireg, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
joii, joi, Repeated Characters,{'prefix/ suffix augmentation': 1}
collection, collections, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
git-node, nodegit, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
rediz, redis, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
minimal.css, minimalcss, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
minimal.css, minimalcss, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
datetime, date-time, Omitted Characters,NA
lue, lie, Common Typos,NA
vuid, uuid, Common Typos,{'1-step D-L dist': 1}
htgen, hygen, Common Typos,{'1-step D-L dist': 1}
signun, signum, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
ges, gex, Common Typos,NA
harp, sharp, Omitted Characters,{'1-step D-L dist': 1}
istype, is-type, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
fs-then, then-fs, Swapped Words,{'sequence reordering': 1}
s, d, Common Typos,NA
reacct, react, Repeated Characters,{'1-step D-L dist': 1}
plist2, plist, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
mersennetwister, mersenne-twister, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
buffer-safe, safe-buffer, Swapped Words,NA
webfont-loader, webfontloader, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
webfont-loader, webfontloader, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
font-face-observer, fontfaceobserver, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 2}"
yaml-js-loader, js-yaml-loader, Swapped Words,{'sequence reordering': 1}
monodb, mongodb, Omitted Characters,{'1-step D-L dist': 1}
vinyl-source-stream2, vinyl-source-stream, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
reserve, preserve, Omitted Characters,{'1-step D-L dist': 1}
pejs, pegjs, Omitted Characters,{'1-step D-L dist': 1}
serializer, serializerr, Omitted Characters,{'1-step D-L dist': 1}
date-x, xdate, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
is.object, isobject, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
is.object, isobject, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
mongos, mongojs, Omitted Characters,{'1-step D-L dist': 1}
j2s, jws, Common Typos,NA
mix-with, mixwith, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
mix-with, mixwith, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
es6-template, es6-templates, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
s5, st, Common Typos,NA
dupertest, supertest, Common Typos,{'1-step D-L dist': 1}
is-md5, js-md5, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
hamburger, hamburgers, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
oow, ow, Repeated Characters,NA
event-component, component-event, Swapped Words,NA
matches-selector-2, matches-selector, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
error-x, error-ex, Omitted Characters,{'1-step D-L dist': 1}
import-postcss, postcss-import, Swapped Words,{'sequence reordering': 1}
string-color, color-string, Swapped Words,{'sequence reordering': 1}
parseint, parse-int, Omitted Characters,{'delimiter modification': 1}
http-serve, http-server, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
react-native-mixpanel, mixpanel-react-native, Swapped Words,{'sequence reordering': 1}
cp-cli, cpy-cli, Omitted Characters,{'1-step D-L dist': 1}
react-dd, react-dnd, Omitted Characters,{'1-step D-L dist': 1}
mapdap, mapcap, Common Typos,{'1-step D-L dist': 1}
docks, socks, Common Typos,{'1-step D-L dist': 1}
slices, sliced, Common Typos,{'1-step D-L dist': 1}
fs-, fs, Swapped Words,NA
fs-, fs, Common Typos,NA
re, rw, Common Typos,NA
gkt, got, Common Typos,NA
primish, promish, Common Typos,{'1-step D-L dist': 1}
iz, is, Common Typos,NA
vue-sweetalert, vue-sweetalert2, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
walkr, walker, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
path-normalize, normalize-path, Swapped Words,{'sequence reordering': 1}
rebase, rebass, Common Typos,{'1-step D-L dist': 1}
input-currency-react, react-currency-input, Swapped Words,{'sequence reordering': 1}
desync, deasync, Omitted Characters,{'1-step D-L dist': 1}
stack-trace-parser, stacktrace-parser, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
cex, crx, Common Typos,NA
remove-file-webpack-plugin, remove-files-webpack-plugin, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
gista, gists, Common Typos,{'1-step D-L dist': 1}
nest, jest, Common Typos,{'1-step D-L dist': 1}
image-min, imagemin, Swapped Words,NA
image-min, imagemin, Common Typos,NA
ums, umd, Common Typos,NA
unquirer, inquirer, Common Typos,{'1-step D-L dist': 1}
args-parser, yargs-parser, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
args-parser, argsparser, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
args-parser, argsparser, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
d2-ui, uid2, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
xml2, xml, Version Number,{'prefix/ suffix augmentation': 1}
hyper, hyperx, Omitted Characters,{'1-step D-L dist': 1}
range-normalize, normalize-range, Swapped Words,{'sequence reordering': 1}
beml, ebml, Swapped Characters,{'1-step D-L dist': 1}
routr, router, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
tb, fb, Common Typos,{'homographic replacement': 1}
connect-basic-auth, basic-auth-connect, Swapped Words,{'sequence reordering': 1}
yoeman-generator, yeoman-generator, Swapped Characters,{'1-step D-L dist': 1}
cfn, cfb, Common Typos,NA
root-path, path-root, Swapped Words,NA
root-path, rootpath, Common Typos,NA
devs, defs, Common Typos,{'1-step D-L dist': 1}
format-string, string-format, Swapped Words,{'sequence reordering': 1}
konga, konva, Common Typos,{'1-step D-L dist': 1}
slcache, lscache, Swapped Characters,{'1-step D-L dist': 1}
isnot, isbot, Common Typos,{'1-step D-L dist': 1}
dash-js, dashjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
dash-js, dashjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ner, net, Common Typos,NA
ddiff, diff, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
react-native-youtube-iframe-2, react-native-youtube-iframe, Version Number,{'1-step D-L dist': 2}
bowe, bower, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
function-name, function.name, Swapped Words,{'delimiter modification': 1}
function-name, function.name, Common Typos,{'delimiter modification': 1}
srnd, send, Common Typos,{'1-step D-L dist': 1}
m1cro, micro, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
is.regexp, is-regexp, Swapped Words,{'delimiter modification': 1}
is.regexp, is-regexp, Common Typos,{'delimiter modification': 1}
humantime, human-time, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
simple-webpack-progress-plugin, simple-progress-webpack-plugin, Swapped Words,{'sequence reordering': 1}
type-registry, types-registry, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
store5, store, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
ym, yn, Common Typos,{'homographic replacement': 1}
arb, arg, Common Typos,NA
npk, npm, Common Typos,NA
react-native-keyboard-aware-scrollview, react-native-keyboard-aware-scroll-view, Omitted Characters,NA
zipfolder, zip-folder, Omitted Characters,{'delimiter modification': 1}
nani, nano, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
formdata-to-object, form-data-to-object, Omitted Characters,{'delimiter modification': 1}
formdata-to-object, object-to-formdata, Swapped Words,{'sequence reordering': 1}
node-git, nodegit, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
node-git, nodegit, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
allure-mocha-reporter, mocha-allure-reporter, Swapped Words,{'sequence reordering': 1}
rela, fela, Common Typos,{'1-step D-L dist': 1}
npm2, npm, Version Number,NA
did-you-mean, didyoumean, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
webpack-assets-plugin, assets-webpack-plugin, Swapped Words,{'sequence reordering': 1}
urlploader, url-loader, Common Typos,NA
none, nonce, Omitted Characters,{'1-step D-L dist': 1}
gets, getos, Omitted Characters,{'1-step D-L dist': 1}
sew, seq, Common Typos,NA
gm3, gm, Version Number,NA
egal, eval, Common Typos,{'1-step D-L dist': 1}
listen, listhen, Omitted Characters,NA
fnt, fbt, Common Typos,NA
awssign, aws-sign, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
js-pubsub, pubsub-js, Swapped Words,{'sequence reordering': 1}
iodash, lodash, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
debug2, debug, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
tipo, topo, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
space-time, spacetime, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
space-time, spacetime, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
go-util, gl-util, Common Typos,{'1-step D-L dist': 1}
mode-sass, node-sass, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
yap, tap, Common Typos,NA
iora, jora, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
pnmp, pnpm, Swapped Characters,{'1-step D-L dist': 1}
globe, globs, Common Typos,{'1-step D-L dist': 1}
asapp, asap, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
kron, iron, Common Typos,{'1-step D-L dist': 1}
blueprint, wblueprint, Omitted Characters,{'1-step D-L dist': 1}
share-react, react-share, Swapped Words,{'sequence reordering': 1}
xpress, express, Omitted Characters,{'1-step D-L dist': 1}
line-number, line-numbers, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
dec, sec, Common Typos,NA
buffer-to-stream, stream-to-buffer, Swapped Words,{'sequence reordering': 1}
reworm, rework, Common Typos,{'1-step D-L dist': 1}
nali, mali, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
plot, uplot, Omitted Characters,{'1-step D-L dist': 1}
npc, ncp, Swapped Characters,NA
npc, npx, Common Typos,NA
css-modules-loader-core2, css-modules-loader-core, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
complex-js, complex.js, Swapped Words,{'delimiter modification': 1}
complex-js, complex.js, Common Typos,{'delimiter modification': 1}
angular2-text-mask2, angular2-text-mask, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
zipstream, zip-stream, Omitted Characters,{'delimiter modification': 1}
next-theme, next-themes, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
ckeditor3, ckeditor4, Common Typos,{'1-step D-L dist': 1}
ckeditor3, ckeditor, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
extname, ext-name, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
react-int, react-intl, Omitted Characters,{'1-step D-L dist': 1}
tpm, tmp, Swapped Characters,NA
wunit, qunit, Common Typos,NA
css-js, css-jss, Omitted Characters,"{'grammatical substitution': True, 'homophonic similarity': True, '1-step D-L dist': 1}"
bar, gar, Common Typos,NA
ynn, yn, Repeated Characters,NA
wc-loader, swc-loader, Omitted Characters,{'1-step D-L dist': 1}
libjs, zlibjs, Omitted Characters,{'1-step D-L dist': 1}
algolia-search, algoliasearch, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
algolia-search, algoliasearch, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tle, tls, Common Typos,NA
node-http, node-http2, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
fury, furi, Common Typos,{'1-step D-L dist': 1}
isuuid, is-uuid, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
angular-chartjs, angular-chart.js, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
babel-plugin-react-css-module, babel-plugin-react-css-modules, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
flv, dlv, Common Typos,NA
amf, wmf, Common Typos,NA
visualizer-webpack-plugin, webpack-visualizer-plugin, Swapped Words,{'sequence reordering': 1}
subdir, subdirs, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
n., n, Swapped Words,NA
n., n, Common Typos,NA
iost, lost, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
killport, kill-port, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
api-testrail, testrail-api, Swapped Words,{'sequence reordering': 1}
flatten-array, array-flatten, Swapped Words,{'sequence reordering': 1}
@typed/uuid, @types/uuid, Common Typos,{'scope confusion': 1}
react-bootstrap-table-2, react-bootstrap-table, Version Number,{'1-step D-L dist': 2}
json-write, write-json, Swapped Words,{'sequence reordering': 1}
node-route, route-node, Swapped Words,NA
crypto.js, crypto-js, Swapped Words,NA
crypto.js, crypto-js, Common Typos,NA
div, dlv, Common Typos,NA
preact-transition-group-4, preact-transition-group, Version Number,NA
react-datez, react-dates, Common Typos,NA
fund, found, Omitted Characters,NA
fund, find, Common Typos,NA
factory_girl, factory-girl, Swapped Words,NA
factory_girl, factory-girl, Common Typos,NA
sql-js, sql.js, Swapped Words,NA
sql-js, sql.js, Common Typos,NA
async.js, asyncjs, Swapped Words,NA
async.js, asyncjs, Common Typos,NA
camp, clamp, Omitted Characters,{'1-step D-L dist': 1}
bootstrap-react, react-bootstrap, Swapped Words,NA
unscape-html, unescape-html, Omitted Characters,NA
reactdom, react-dom, Omitted Characters,NA
icheck-2, icheck, Version Number,NA
css-clean, clean-css, Swapped Words,NA
css-clean, xss-clean, Common Typos,NA
typecript, typescript, Omitted Characters,NA
react-native-web-svg, react-native-svg-web, Swapped Words,NA
pix-diff2, pix-diff, Version Number,NA
mogoose, mongoose, Omitted Characters,NA
rplace, replace, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
typeon, typeson, Omitted Characters,{'1-step D-L dist': 1}
interact-js, interactjs, Swapped Words,NA
interact-js, interactjs, Common Typos,NA
math-js, mathjs, Swapped Words,NA
math-js, mathjs, Common Typos,NA
ngx-mask-2, ngx-mask, Version Number,NA
language-detect, languagedetect, Swapped Words,NA
language-detect, languagedetect, Common Typos,NA
jzip, jszip, Omitted Characters,NA
jzip, uzip, Common Typos,NA
y, i, Common Typos,NA
react-auto-bind, react-autobind, Common Typos,NA
memoize, memoizee, Omitted Characters,{'1-step D-L dist': 1}
retry-bluebird, bluebird-retry, Swapped Words,{'sequence reordering': 1}
gtest, ttest, Common Typos,{'1-step D-L dist': 1}
owlcarousel, owl.carousel, Omitted Characters,{'delimiter modification': 1}
lt-element, lit-element, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
xrange, drange, Common Typos,{'1-step D-L dist': 1}
dotprop, dot-prop, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
ifx, idx, Common Typos,NA
traverser, wtraverser, Omitted Characters,{'1-step D-L dist': 1}
render, zrender, Omitted Characters,{'1-step D-L dist': 1}
yarg, yargs, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
typecheck, type-check, Omitted Characters,{'delimiter modification': 1}
check-types-2, check-types, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
tinyemitter, tiny-emitter, Omitted Characters,{'delimiter modification': 1}
vent, bent, Common Typos,{'1-step D-L dist': 1}
limiter2, limiter, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
orq, ora, Common Typos,{'homographic replacement': 1}
shopify-node-api, shopify-api-node, Swapped Words,{'sequence reordering': 1}
gint, hint, Common Typos,{'1-step D-L dist': 1}
react-create-class, create-react-class, Swapped Words,{'sequence reordering': 1}
email-template, email-templates, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
arrival, arrivals, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
angular-social-login, angularx-social-login, Omitted Characters,{'1-step D-L dist': 1}
vse, use, Common Typos,NA
npmm, npm, Repeated Characters,NA
reset.css, reset-css, Swapped Words,{'delimiter modification': 1}
reset.css, reset-css, Common Typos,{'delimiter modification': 1}
strip-comment, strip-comments, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
metrc, netrc, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
de, d3, Common Typos,NA
typeis, type-is, Omitted Characters,NA
opted, opter, Common Typos,{'1-step D-L dist': 1}
listjs, list.js, Omitted Characters,{'delimiter modification': 1}
sas, sax, Common Typos,NA
analytica, analytics, Common Typos,{'1-step D-L dist': 1}
raver, reaver, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
support-color, supports-color, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
support-color, color-support, Swapped Words,{'sequence reordering': 1}
bjson, hjson, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
yuo, yup, Common Typos,NA
nnpm, npm, Repeated Characters,NA
jsonq, jsona, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
reactor, reactour, Omitted Characters,{'1-step D-L dist': 1}
ehttp, whttp, Common Typos,{'1-step D-L dist': 1}
ys-expression, is-expression, Common Typos,{'1-step D-L dist': 1}
react-router-mobx, mobx-react-router, Swapped Words,{'sequence reordering': 1}
defa, defs, Common Typos,{'1-step D-L dist': 1}
sm-utils, esm-utils, Omitted Characters,{'1-step D-L dist': 1}
credit-cards-react, react-credit-cards, Swapped Words,{'sequence reordering': 1}
misc, imsc, Swapped Characters,{'1-step D-L dist': 1}
ustat, jstat, Common Typos,{'1-step D-L dist': 1}
ph, pn, Common Typos,NA
bsp, nsp, Common Typos,NA
mongose, mongoose, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
simple-oauth, simple-oauth2, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
jasminewd, jasminewd2, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
stream-sink, streamsink, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
stream-sink, streamsink, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
comander, commander, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
barcode-js, jsbarcode, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
sd, wd, Common Typos,NA
normal, normals, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
jstring, mstring, Common Typos,{'1-step D-L dist': 1}
victor, victory, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
bufy, buefy, Omitted Characters,{'1-step D-L dist': 1}
osa, oas, Swapped Characters,NA
wait, waait, Omitted Characters,{'1-step D-L dist': 1}
live-serve, live-server, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
wtch, watch, Omitted Characters,{'1-step D-L dist': 1}
wtch, etch, Common Typos,{'1-step D-L dist': 1}
yi, yo, Common Typos,NA
path-cross, crosspath, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
inject-webpack-plugin, webpack-inject-plugin, Swapped Words,{'sequence reordering': 1}
flag-icon-css-2, flag-icon-css, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
inu, ini, Common Typos,NA
csa, css, Common Typos,NA
on, pn, Common Typos,NA
node-sqlparser, node-sql-parser, Omitted Characters,{'delimiter modification': 1}
redix, redux, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
gif-encoder-2, gif-encoder, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
n_, n, Swapped Words,NA
n_, n, Common Typos,NA
url-safe-base64, urlsafe-base64, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
jsonapi-normalizer, json-api-normalizer, Omitted Characters,NA
react-datepicker2, react-datepicker, Version Number,NA
docs, docx, Common Typos,NA
d3-3, d3, Version Number,NA
pm, pn, Common Typos,{'homographic replacement': 1}
jquery-caret, jquery.caret, Swapped Words,NA
jquery-caret, jquery.caret, Common Typos,NA
switch, zwitch, Common Typos,NA
passport-bitbucket-oauth20, passport-bitbucket-oauth2, Version Number,NA
three-orbitcontrols, three-orbit-controls, Omitted Characters,{'delimiter modification': 1}
webpack-asset-manifest, webpack-assets-manifest, Omitted Characters,NA
changed-git-files, git-changed-files, Swapped Words,{'sequence reordering': 1}
vue-svg-icon, vue-svgicon, Common Typos,NA
ng-clipboard, ngx-clipboard, Omitted Characters,NA
ng-clipboard, ngclipboard, Swapped Words,NA
ng-clipboard, ngclipboard, Common Typos,NA
angular1-text-mask, angular2-text-mask, Common Typos,NA
aw, qw, Common Typos,NA
superagent-nock, superagent-mock, Common Typos,NA
kill, fkill, Omitted Characters,NA
currencyjs, currency.js, Omitted Characters,NA
df, fd, Swapped Characters,NA
df, dc, Common Typos,NA
stub, stubs, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
eam, esm, Common Typos,NA
lino, pino, Common Typos,{'1-step D-L dist': 1}
webext, web-ext, Omitted Characters,{'delimiter modification': 1}
saml2, saml, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
f3tch, fetch, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
micro-core, micro-cors, Common Typos,{'1-step D-L dist': 1}
utiliti, utility, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
bindingx, bindings, Common Typos,{'1-step D-L dist': 1}
nsw, msw, Common Typos,{'homographic replacement': 1}
sockx, socks, Common Typos,{'1-step D-L dist': 1}
edp, sdp, Common Typos,NA
qa, qs, Common Typos,NA
ppts, opts, Common Typos,{'1-step D-L dist': 1}
moongoose, mongoose, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
tonweb, tronweb, Omitted Characters,{'1-step D-L dist': 1}
rollup-copy-plugin, rollup-plugin-copy, Swapped Words,{'sequence reordering': 1}
react-tags, react-tabs, Common Typos,{'1-step D-L dist': 1}
feather-react, react-feather, Swapped Words,{'sequence reordering': 1}
react-quill-2, react-quill, Version Number,{'1-step D-L dist': 2}
js-to-string, jsx-to-string, Omitted Characters,{'1-step D-L dist': 1}
ng-pipes, ngx-pipes, Omitted Characters,{'1-step D-L dist': 1}
dookie, cookie, Common Typos,{'1-step D-L dist': 1}
sm, ms, Swapped Characters,NA
vue-leaflet, vue2-leaflet, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
g1, gl, Common Typos,{'homographic replacement': 1}
g1, g, Version Number,NA
tempusdominus-bootstrap-3, tempusdominus-bootstrap-4, Common Typos,{'1-step D-L dist': 1}
buffer-write, buffer-writer, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
playright, playwright, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
gulp-size2, gulp-size, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
fancylog, fancy-log, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
didyoumean3, didyoumean2, Common Typos,{'1-step D-L dist': 1}
didyoumean3, didyoumean, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
openapi-codegen-typescript, openapi-typescript-codegen, Swapped Words,{'sequence reordering': 1}
core, cors, Common Typos,{'1-step D-L dist': 1}
stacktrace, stack-trace, Omitted Characters,NA
jqueryui, jquery-ui, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
gpt, got, Common Typos,NA
slice-stream2, slice-stream, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
onp, opn, Swapped Characters,NA
onp, ono, Common Typos,NA
yaj, yam, Common Typos,NA
qrcode-react, qrcode.react, Swapped Words,{'delimiter modification': 1}
qrcode-react, qrcode.react, Common Typos,{'delimiter modification': 1}
eact, react, Omitted Characters,{'1-step D-L dist': 1}
char, charm, Omitted Characters,{'1-step D-L dist': 1}
gi-util, gl-util, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
rsolve, resolve, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
color-cli, colors-cli, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
color-cli, cli-color, Swapped Words,{'sequence reordering': 1}
vue-highlight.js, vue-highlightjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
detr, destr, Omitted Characters,{'1-step D-L dist': 1}
ppath, path, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
html5, html, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
@typed/history, @types/history, Common Typos,{'scope confusion': 1}
uvo, ufo, Common Typos,NA
v9s, vis, Common Typos,NA
tabel, table, Swapped Characters,{'1-step D-L dist': 1}
iflux, influx, Omitted Characters,{'1-step D-L dist': 1}
pxrem, pixrem, Omitted Characters,{'1-step D-L dist': 1}
uxhr, unxhr, Omitted Characters,{'1-step D-L dist': 1}
scv, csv, Swapped Characters,NA
timer, timers, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
webpack-dotenv, dotenv-webpack, Swapped Words,{'sequence reordering': 1}
ladash, loadash, Omitted Characters,{'1-step D-L dist': 1}
react-draggable2, react-draggable, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
lru-map, lru_map, Swapped Words,{'delimiter modification': 1}
lru-map, lru_map, Common Typos,{'delimiter modification': 1}
mprogress, nprogress, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
protobufs, protobufjs, Omitted Characters,{'1-step D-L dist': 1}
amap, amqp, Common Typos,{'1-step D-L dist': 1}
minimst, minimist, Omitted Characters,{'1-step D-L dist': 1}
react-native-element, react-native-elements, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
robust-determinant-2, robust-determinant, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
react-confirm2, react-confirm, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
js-tree, jstree, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
js-tree, jstree, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
args-any, anyargs, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1, '1-step D-L dist': 1}"
badwords, bad-words, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
vue-pagination-3, vue-pagination-2, Common Typos,{'1-step D-L dist': 1}
json-file, jsonfile, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
json-file, jsonfile, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
input-mask, inputmask, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
input-mask, inputmask, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
wway, sway, Common Typos,{'1-step D-L dist': 1}
react-jsoneditor, jsoneditor-react, Swapped Words,{'sequence reordering': 1}
