adv_pkg,base_pkg,category,typomind_cat
puml, pump, Common Typos,{'1-step D-L dist': 1}
formsy-react-2, formsy-react, Version Number,{'1-step D-L dist': 2}
sort-object-keys2, sort-object-keys, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
execall2, execall, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
lru-cache2, lru-cache, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
regexpp2, regexpp, Version Number,{'1-step D-L dist': 1}
runes2, runes, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
rediz-lock, redis-lock, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
promisify-es6, es6-promisify, Swapped Words,{'sequence reordering': 1}
pull-stream-to-stream, stream-to-pull-stream, Swapped Words,{'sequence reordering': 1}
uri-to-multiaddr, multiaddr-to-uri, Swapped Words,{'sequence reordering': 1}
xlsx-populate2, xlsx-populate, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
2, q, Common Typos,NA
kju, jju, Common Typos,NA
react-native-safe-module, react-native-safe-modules, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
sortable.js, sortablejs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
sortable.js, sortablejs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
domhelpers, dom-helpers, Omitted Characters,NA
format-json, json-format, Swapped Words,{'sequence reordering': 1}
cmd, dmd, Common Typos,NA
xsrf, csrf, Common Typos,{'1-step D-L dist': 1}
s-js, jss, Swapped Words,NA
mock, nock, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
rf, rc, Common Typos,NA
koa-cookie, koa-cookies, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
router5.transition-path, router5-transition-path, Swapped Words,NA
router5.transition-path, router5-transition-path, Common Typos,NA
dss, css, Common Typos,NA
bash, nash, Common Typos,{'1-step D-L dist': 1}
js-extend, jss-extend, Omitted Characters,"{'grammatical substitution': True, 'homophonic similarity': True, '1-step D-L dist': 1}"
format-io, formatio, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
format-io, formatio, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
writejson, write-json, Omitted Characters,{'delimiter modification': 1}
a-csv, ya-csv, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
react-cosmos-shared, react-cosmos-shared2, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
xml-sitemap, sitemap-xml, Swapped Words,{'sequence reordering': 1}
xargs, dargs, Common Typos,{'1-step D-L dist': 1}
rollup-plugin-vue2, rollup-plugin-vue, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
gl-error2d, gl-error3d, Common Typos,{'1-step D-L dist': 1}
resa, resq, Common Typos,{'1-step D-L dist': 1}
compare, tcompare, Omitted Characters,{'1-step D-L dist': 1}
chartjs-2-react, react-chartjs-2, Swapped Words,{'sequence reordering': 1}
scripts, scriptjs, Omitted Characters,{'1-step D-L dist': 1}
coolors, colors, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
media-type, media-typer, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
